Date,IE 8.0,Chrome for Android,IE 6.0,IE 7.0,IE 9.0,Firefox 3.6,Android 0,IE 11.0,Chrome 49.0,IE 10.0,Safari iPhone,Chrome 37.0,Chrome 39.0,Chrome 35.0,Chrome 23.0,Chrome 26.0,Chrome 36.0,Chrome 51.0,Chrome 43.0,Chrome 31.0,Chrome 54.0,Chrome 46.0,Chrome 38.0,Chrome 27.0,Chrome 21.0,Chrome 34.0,Chrome 47.0,Chrome 33.0,Chrome 28.0,Chrome 40.0,Chrome 29.0,Chrome 53.0,Chrome 30.0,Chrome 48.0,Chrome 24.0,Chrome 22.0,Chrome 56.0,Chrome 63.0,Chrome 58.0,Chrome 16.0,Firefox 3.5,Chrome 60.0,Chrome 44.0,Chrome 45.0,Chrome 55.0,Chrome 32.0,Chrome 52.0,Chrome 83.0,Chrome 50.0,Chrome 41.0,Chrome 19.0,Chrome 61.0,Chrome 25.0,Chrome 18.0,Chrome 12.0,Chrome 79.0,Chrome 67.0,Chrome 13.0,Opera 0,Chrome 17.0,Chrome 42.0,Firefox 3.0,Chrome 74.0,Chrome 15.0,Chrome 59.0,Chrome 80.0,Chrome 75.0,Chrome 20.0,Chrome 66.0,Chrome 78.0,Firefox 4.0,Chrome 71.0,Chrome 73.0,Chrome 84.0,Chrome 70.0,Safari iPad,Chrome 76.0,Chrome 65.0,Chrome 85.0,Chrome 14.0,Chrome 72.0,Chrome 68.0,Chrome 11.0,Chrome 57.0,Chrome 77.0,Chrome 8.0,Chrome 69.0,Chrome 10.0,Chrome 62.0,Chrome 64.0,Chrome 81.0,Chrome 86.0,Firefox 5.0,Chrome 5.0,Chrome 4.0,Firefox 12.0,Chrome 9.0,Chrome 91.0,Firefox 6.0,Firefox 8.0,Nokia 0,Chrome 7.0,Firefox 16.0,Firefox 14.0,Chrome 87.0,Firefox 15.0,Chrome 6.0,Firefox 11.0,Chrome 90.0,Firefox 13.0,Chrome 96.0,Firefox 7.0,IEMobile 11.0,Firefox 10.0,Chrome 89.0,Chrome 92.0,Firefox 9.0,Firefox 19.0,Chrome 88.0,Safari 5.0,Firefox 18.0,Safari 5.1,Firefox 21.0,Firefox 20.0,Chrome for iPhone,Firefox 17.0,Firefox 32.0,Firefox 22.0,Chrome 103.0,Firefox 23.0,Firefox 26.0,Chrome 94.0,Firefox 31.0,Firefox 2.0,Chrome 95.0,Firefox 25.0,Firefox 28.0,Firefox 30.0,Firefox 24.0,Chrome 105.0,Firefox 33.0,IEMobile 10.0,Firefox 29.0,Chrome 3.0,Firefox 27.0,Chrome 102.0,Chrome 93.0,Chrome 100.0,Chrome 97.0,Microsoft-WebDAV 0,BlackBerry 0,Firefox 35.0,Chrome 104.0,Chrome 99.0,Firefox 47.0,Firefox 34.0,Firefox 38.0,Chrome 108.0,Chrome 101.0,Safari 4.0,Chrome 98.0,Chrome 106.0,Chrome 107.0,Chrome 109.0,Safari 6.0,Firefox 37.0,360 Safe Browser 0,Firefox 43.0,Firefox 39.0,Chrome iPad,Firefox 40.0,Firefox 36.0,Safari iPod Touch,Safari 8.0,Chrome 111.0,Firefox 42.0,Firefox 41.0,Chrome 112.0,Firefox 50.0,Firefox 49.0,Firefox 45.0,Safari 7.0,Edge 14,Edge 13,Safari 9.1,Samsung Internet 3.3,Safari 12.1,Firefox 52.0,Safari 10.1,Edge 17,Safari 11.1,Safari 13.1,Safari 12.0,Firefox 44.0,Opera 12.1,Firefox 48.0,Safari 13.0,Chrome 110.0,Opera 11.6,Safari 9.0,Safari 11.0,Firefox 57.0,Firefox 54.0,Firefox 46.0,Edge 18,Safari 10.0,Firefox 53.0,IEMobile 9.0,Chrome 2.0,Firefox 51.0,Edge 12,Opera 11.5,Opera 10.6,Firefox 59.0,Opera 12.0,Samsung Internet 4.0,Firefox 56.0,Samsung Internet 2.0,Samsung Internet 3.5,Firefox 66.0,Firefox 55.0,Edge 15,Chrome for Andr,Android 2.2,Edge 16,Firefox 58.0,Opera 11.0,Chrome 1.0,Firefox 61.0,Chrome 113.0,Safari 6.1,Firefox 68.0,Samsung Internet 1.1,Opera 68.0,Safari 14.0,Firefox 60.0,Opera 11.1,Firefox 67.0,Opera 10.0,Maxthon 4.4,Safari 7.1,Opera 58.0,Firefox 69.0,Firefox 65.0,Samsung Internet 1.0,Chromium 25.0,Edge 85,Firefox 63.0,Opera 10.5,Opera 9.6,Firefox 62.0,Opera Mini 4.4,NetFront 0,Sony PS4 0,Opera 63.0,Firefox 70.0,Edge 83,Samsung Internet 5.4,Edge 84,Firefox 64.0,Samsung Internet 2.1,Obigo 0,Instabridge 21.9,Samsung Internet 9.2,Edge 91,Edge 86,IEMobile 0,Opera 30.0,Firefox 72.0,Other
2017-09,"0,15","24,98",0,0,"0,05",0,"1,17","0,88","1,93","0,11","1,76","0,01","0,09","0,01","0,01","0,04","0,03","0,25","0,06","0,03","0,2","0,08","0,12",0,0,"0,05","0,04","0,02",0,"0,02","0,09","0,16","0,01","0,05","0,01","0,05","0,48","0,03","0,73",0,0,"44,01","0,05","0,04","0,28",0,"0,1",0,"0,07","0,02",0,"10,31","0,01","0,01",0,0,0,0,0,0,"0,02","0,01",0,0,"0,91",0,0,"0,01",0,0,0,0,0,0,0,"0,43",0,0,0,0,0,0,"0,01","0,39",0,0,0,0,"0,06",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,33",0,0,0,0,0,0,0,0,"0,01",0,0,"0,21","0,01",0,0,0,0,0,0,"0,01",0,0,0,"0,01",0,0,0,0,"0,05",0,0,0,0,0,0,0,"0,24","0,02",0,0,0,"0,05","0,01","0,01",0,0,0,0,0,0,0,0,"0,01","0,03","0,03","0,01","0,09","0,01","0,01","0,01","0,04",0,"0,01","0,01",0,"0,05","0,03","0,03","0,01","0,25","0,08","0,14","0,14",0,"0,16","0,63",0,0,0,0,"0,01","0,01","0,06",0,0,0,"0,04","0,12","0,01","0,14","0,01",0,"0,14","0,05","0,01",0,"0,03","0,04",0,0,0,0,"0,08","0,04","0,05","0,14",0,"2,41","0,39",0,0,0,0,0,0,0,0,0,0,"0,14",0,0,0,0,0,0,"0,01","0,01",0,0,0,"0,08","0,05",0,0,0,0,0,"0,18",0,"0,04",0,0,0,"0,41",0,0,"0,02",0,0,0,0,0,"0,02",0,0,"2,04"
2017-10,"0,21","23,33",0,0,"0,06",0,"1,06","0,99","1,67","0,13","1,91","0,02","0,04","0,01",0,"0,06","0,02","0,25","0,06","0,02","0,16","0,06","0,17",0,0,"0,07","0,1","0,01",0,"0,02","0,04","0,13",0,"0,04","0,02","0,07","0,4","0,04","0,57",0,0,"1,68","0,04","0,03","0,24",0,"0,08",0,"0,06","0,02",0,"52,66","0,01","0,01",0,0,0,0,0,0,"0,01","0,02",0,0,"0,55",0,0,"0,01",0,0,0,0,0,0,0,"0,42",0,0,0,0,0,0,"0,01","0,29",0,0,0,0,"1,9","0,01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,32",0,0,0,0,0,0,"0,01",0,"0,01",0,0,"0,23",0,0,0,0,0,0,0,"0,01",0,0,0,"0,01",0,0,0,0,"0,05",0,0,0,0,0,0,0,"0,09","0,02",0,0,0,"0,05","0,01","0,01",0,0,0,0,0,0,0,0,"0,01","0,03","0,03","0,01","0,09","0,01","0,01","0,01","0,04",0,"0,01","0,01",0,"0,04","0,03","0,02","0,09","0,22","0,07","0,15","0,15",0,"0,16","0,4",0,0,0,0,"0,01","0,01","0,07",0,0,0,"0,04","0,56","0,03","0,06","0,01",0,"0,13","0,03","0,01",0,"0,05","0,04",0,0,0,0,"0,08","2,27","0,06","0,14",0,"0,4","0,51",0,0,"0,01",0,0,0,0,0,0,0,"0,17",0,0,0,0,0,0,"0,01",0,0,0,0,"0,12","0,06",0,0,0,0,0,"0,22",0,"0,06",0,0,0,"0,42",0,0,"0,02",0,0,0,0,0,"0,02","0,01",0,"2,12"
2017-11,"0,31","21,32",0,"0,01","0,1",0,"0,91","1,15","1,52","0,2","1,98","0,01","0,07","0,01",0,"0,05","0,02","0,13","0,07","0,02","0,09","0,06","0,17",0,0,"0,06","0,15","0,01",0,"0,02","0,08","0,07",0,"0,04","0,02","0,06","0,34","0,08","0,56",0,0,"0,87","0,03","0,03","0,13",0,"0,07",0,"0,05","0,01",0,"23,28","0,01","0,01",0,0,0,0,0,0,"0,01","0,02",0,0,"0,47",0,0,"0,01",0,0,0,0,0,0,0,"0,42",0,0,0,0,0,0,"0,01","0,24",0,0,0,0,"34,36","0,03",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,25",0,0,0,0,0,0,0,0,0,0,0,"0,23",0,0,0,0,0,0,0,"0,01",0,0,0,"0,02",0,0,0,"0,01","0,05",0,0,0,0,0,0,0,"0,02","0,02",0,0,0,"0,04","0,01","0,01",0,0,0,0,0,0,0,0,"0,01","0,03","0,03","0,01","0,11","0,01","0,01","0,01","0,04",0,"0,01","0,01",0,"0,02","0,01","0,02","0,17","0,2","0,07","0,15","0,11",0,"0,16","0,41",0,0,0,0,"0,05","0,01","0,07",0,0,0,"0,05","0,71","1,31","0,07","0,01",0,"0,12","0,04","0,01",0,"0,03","0,04",0,0,0,0,"0,05","1,5","0,08","0,1",0,"0,08","0,58",0,0,"0,07","0,02",0,0,0,0,0,0,"0,16",0,0,0,0,0,0,"0,01",0,0,0,0,"0,1","0,05",0,0,0,0,0,"0,22",0,"0,05",0,0,0,"0,13",0,0,"0,01",0,0,0,0,0,"0,02",0,0,"2,14"
2017-12,"0,22","22,76",0,0,"0,06",0,"0,98","0,97","1,4","0,14","2,06","0,02","0,07","0,01",0,"0,04","0,02","0,12","0,04","0,03","0,08","0,04","0,19",0,0,"0,07","0,09","0,01",0,"0,01","0,09","0,06",0,"0,03","0,01","0,06","0,27","31,63","0,47",0,0,"0,62","0,03","0,02","0,12",0,"0,06",0,"0,05","0,01",0,"0,98","0,01",0,0,0,0,0,0,0,"0,01","0,01",0,0,"0,35",0,0,"0,01",0,0,0,0,0,0,0,"0,43",0,"0,02",0,0,0,0,"0,01","0,19",0,0,0,0,"25,02","0,05",0,0,0,0,0,0,0,0,0,0,"0,02",0,0,0,0,0,0,0,0,0,0,0,"0,27",0,0,0,0,0,0,0,0,0,0,0,"0,3",0,0,0,0,0,0,0,"0,01",0,0,0,"0,01",0,0,0,0,"0,04",0,0,0,0,0,0,0,"0,01","0,02",0,0,0,"0,05","0,01","0,01",0,0,0,0,0,0,0,0,"0,01","0,03","0,03","0,01","0,1","0,01","0,01","0,01","0,04",0,"0,01","0,01",0,"0,01","0,01","0,02","0,07","0,17","0,06","0,13","0,12",0,"0,15","0,24",0,0,0,0,"0,01","0,01","0,06",0,0,0,"0,03","0,71","2,68","0,05","0,01",0,"0,1","0,03","0,01",0,"0,02","0,04",0,0,0,0,"0,06","0,11","0,1","0,1",0,"0,04","0,44",0,0,"0,21","0,03",0,0,0,0,0,0,"0,16",0,0,0,0,0,0,0,0,0,0,0,"0,1","0,06",0,0,0,0,0,"0,24",0,"0,06",0,0,0,"0,05",0,0,"0,01",0,0,0,0,0,"0,02",0,0,"2,33"
2018-01,"0,09","25,83",0,0,"0,03",0,1,"0,84","1,31","0,07","2,13","0,01","0,03","0,01",0,"0,05","0,02","0,1","0,04","0,01","0,06","0,04","0,21",0,0,"0,07","0,01","0,01",0,"0,01","0,04","0,06",0,"0,02",0,"0,07","0,23","53,37","0,4",0,0,"0,46","0,03","0,02","0,1",0,"0,04",0,"0,05","0,01",0,"0,56","0,01",0,0,0,0,0,0,0,"0,01",0,0,0,"0,28",0,0,0,0,0,0,0,0,0,0,"0,44",0,"0,03",0,0,0,0,"0,01","0,16",0,0,0,0,"0,75","1,33",0,0,0,0,0,0,0,0,0,0,"0,01",0,0,0,0,0,0,0,0,0,0,0,"0,26",0,0,0,0,0,0,0,0,0,0,0,"0,28",0,0,0,0,0,0,0,0,0,0,0,"0,01",0,0,0,0,"0,04",0,0,0,0,0,0,0,"0,01","0,01",0,0,0,"0,04","0,01","0,01",0,0,0,0,0,0,0,0,"0,01","0,03","0,02","0,01","0,1","0,01","0,01","0,01","0,03",0,0,0,0,"0,02","0,01","0,02",0,"0,13","0,05","0,13","0,12",0,"0,15","0,21",0,0,0,0,0,"0,01","0,06",0,0,0,"0,02","0,72","2,32","0,04","0,01",0,"0,07","0,02","0,01",0,"0,01","0,03",0,0,"0,01",0,"0,05","0,07","0,11","0,1",0,"0,03","0,28",0,0,"0,38","0,31",0,0,0,0,0,0,"0,16",0,0,0,0,0,0,0,0,0,0,0,"0,11","0,07",0,0,0,0,0,"0,22",0,"0,07",0,0,0,"0,04",0,0,"0,01",0,0,0,0,0,"0,02",0,0,"2,35"
2018-02,"0,07","25,2",0,0,"0,03",0,"0,88","0,79","1,21","0,07","2,01","0,01","0,04","0,01",0,"0,05","0,02","0,09","0,03","0,01","0,05","0,04","0,23",0,0,"0,07","0,02","0,01",0,"0,01","0,05","0,05",0,"0,02",0,"0,07","0,18","29,98","0,37",0,0,"0,37","0,03","0,01","0,09",0,"0,04",0,"0,04","0,01",0,"0,41","0,01",0,0,0,0,0,0,0,"0,01",0,0,0,"0,21",0,0,0,"0,03",0,0,0,0,0,0,"0,39",0,"0,06",0,0,0,0,"0,01","0,14",0,0,0,0,"0,43","26,75",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,23",0,0,0,0,0,0,0,0,0,0,0,"0,26",0,0,0,0,0,0,0,"0,01",0,0,0,"0,01",0,0,0,0,"0,03",0,0,0,0,0,0,0,"0,01","0,01",0,0,0,"0,04","0,01",0,0,0,0,0,0,0,0,0,"0,01","0,01","0,02",0,"0,09","0,01","0,01","0,01","0,03",0,0,"0,01",0,"0,02","0,01","0,01","0,01","0,11","0,04","0,12","0,11",0,"0,14","0,23",0,0,0,0,0,"0,01","0,06",0,0,0,"0,03","0,79","0,16","0,05",0,0,"0,07","0,02","0,01",0,"0,01","0,02",0,0,"0,03",0,"0,05","0,05","0,15","0,08",0,"0,02","0,16",0,0,"0,52","2,33",0,0,0,0,0,0,"0,17",0,0,0,0,0,0,0,0,0,0,0,"0,12","0,07",0,0,0,0,0,"0,12",0,"0,09",0,0,0,"0,03",0,0,"0,01",0,0,0,0,0,"0,02",0,0,"2,34"
2018-03,"0,07","26,4",0,0,"0,03",0,"0,91","0,79","1,17","0,06","2,08","0,01","0,03",0,0,"0,06","0,02","0,09","0,03","0,01","0,05","0,04","0,29",0,0,"0,09","0,02","0,01",0,"0,01","0,05","0,04",0,"0,02",0,"0,08","0,15","1,51","0,34",0,0,"0,27","0,03","0,02","0,08",0,"0,05",0,"0,03","0,01",0,"0,31","0,01","0,01",0,0,"0,02",0,0,0,"0,01",0,0,0,"0,18",0,0,0,"0,05",0,0,0,0,0,0,"0,4",0,"19,85",0,0,0,0,"0,01","0,11",0,0,0,0,"0,33","34,72",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,2",0,0,0,0,0,0,0,0,0,0,0,"0,32",0,0,0,0,0,0,0,0,0,0,0,"0,01",0,0,0,0,"0,03",0,0,0,0,0,0,0,0,"0,02",0,0,0,"0,04","0,01","0,01",0,0,0,0,0,0,0,0,0,"0,01","0,02","0,01","0,09","0,01","0,01","0,01","0,01",0,0,"0,01",0,"0,01","0,01","0,01","0,01","0,08","0,04","0,11","0,09",0,"0,14","0,21",0,0,0,0,0,"0,01","0,06",0,0,0,"0,01","0,74","0,07","0,03",0,0,"0,05","0,01","0,01",0,"0,02","0,02",0,0,"1,05",0,"0,05","0,04","0,19","0,08",0,"0,03","0,1",0,0,"0,64","1,36",0,0,0,0,0,0,"0,19",0,0,"0,02",0,0,0,0,0,0,0,0,"0,15","0,08",0,0,0,0,0,"0,06",0,"0,11",0,0,0,"0,02",0,0,"0,01",0,0,0,0,0,"0,02",0,0,"2,21"
2018-04,"0,08","22,05",0,"0,01","0,03",0,"0,7","0,83","1,12","0,07","1,73","0,01","0,02","0,01",0,"0,04","0,01","0,08","0,03","0,01","0,05","0,04","0,2",0,0,"0,05","0,02","0,01",0,"0,01","0,03","0,03",0,"0,02","0,02","0,05","0,19","0,7","0,37",0,0,"0,27","0,03","0,02","0,07",0,"0,03",0,"0,03","0,01",0,"0,3","0,01","0,01",0,0,"0,03",0,0,0,"0,01",0,0,0,"0,24",0,0,0,"7,98",0,0,0,0,0,0,"0,36",0,"51,58",0,0,0,"0,01","0,01","0,09",0,0,0,0,"0,25","1,01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,18",0,0,0,0,0,0,0,0,0,0,0,"0,25",0,0,0,0,0,0,0,0,0,0,0,"0,01",0,0,0,0,"0,03",0,0,0,0,0,0,0,0,"0,01",0,0,0,"0,05","0,01","0,01",0,0,0,0,0,0,0,0,0,"0,01","0,02","0,01","0,08","0,01","0,01","0,01","0,02",0,0,"0,01",0,"0,01","0,01","0,01","0,01","0,08","0,04","0,12","0,07",0,"0,15","0,17","0,01","0,46",0,0,0,"0,01","0,05",0,0,0,"0,02","0,42","0,05","0,04",0,0,"0,06","0,02","0,01",0,"0,02","0,03",0,0,"2,52",0,"0,04","0,05","0,16","0,07",0,"0,03","0,1",0,0,"0,71","0,07",0,0,0,0,0,0,"0,14",0,0,"0,03",0,0,0,0,0,0,0,0,"0,09","0,04",0,0,0,0,0,"0,06",0,"0,06",0,0,0,"0,02",0,0,"0,01",0,0,0,0,0,"0,01",0,0,"2,15"
2018-05,"0,09","22,24",0,0,"0,04",0,"0,66","0,82","1,1","0,05","1,74","0,01","0,07","0,01",0,"0,03","0,01","0,06","0,03","0,01","0,06","0,03","0,19",0,0,"0,04","0,02","0,03",0,"0,01","0,05","0,03",0,"0,01","0,01","0,04","0,12","0,64","0,3",0,0,"0,21","0,02","0,01","0,08",0,"0,04",0,"0,03",0,0,"0,23","0,01","0,01",0,0,"0,42",0,0,0,"0,01","0,01",0,0,"0,15",0,0,0,"56,68",0,0,0,0,0,0,"0,32",0,"3,12",0,0,0,"0,03","0,01","0,09",0,0,0,0,"0,27","0,64",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,17",0,0,0,0,0,0,0,0,0,0,0,"0,25",0,0,0,0,0,0,0,0,0,0,0,"0,01",0,0,0,0,"0,02",0,0,0,0,0,0,0,0,"0,01",0,0,0,"0,05","0,01",0,0,0,0,0,0,0,0,0,0,"0,01","0,02",0,"0,07","0,01","0,01",0,"0,11",0,0,"0,02",0,"0,01","0,01","0,01",0,"0,07","0,04","0,1","0,07",0,"0,16","0,18","0,11","0,75",0,0,0,"0,01","0,06",0,0,0,"0,07","0,29","0,07","0,03",0,0,"0,06","0,02","0,01",0,"0,01","0,02",0,0,"1,43",0,"0,05","0,06","0,12","0,07",0,"0,02","0,09",0,0,"0,59","0,05",0,0,"0,02",0,"0,01",0,"0,11",0,0,"1,04",0,0,0,0,0,0,0,0,"0,06","0,03",0,0,0,0,0,"0,05",0,"0,05",0,0,0,"0,02",0,0,"0,01",0,0,0,0,0,"0,01",0,0,"2,17"
2018-06,"0,11","22,54",0,0,"0,03",0,"0,64","0,74","1,04","0,07","1,69","0,01","0,32","0,01",0,"0,03","0,02","0,06","0,02","0,04","0,06","0,03","0,18",0,0,"0,04","0,02","0,01",0,"0,01","0,1","0,03","0,01","0,01","0,01","0,03","0,08","0,58","0,23",0,0,"0,13","0,03","0,01","0,06","0,01","0,03",0,"0,02",0,0,"0,17","0,01",0,0,0,"39,8",0,0,0,0,"0,01",0,0,"0,1",0,0,0,"20,18",0,0,0,0,0,0,"0,33",0,"0,78",0,0,0,"0,06","0,01","0,07",0,0,"0,02",0,"0,27","0,49",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,16",0,0,0,0,0,0,0,0,0,0,0,"0,24",0,0,0,0,0,0,0,0,0,0,0,"0,01",0,0,0,0,"0,02",0,0,0,0,0,0,0,0,"0,01",0,0,0,"0,04","0,01","0,01",0,0,0,0,0,0,0,0,0,"0,02","0,02",0,"0,07",0,0,0,"0,1",0,0,"0,02",0,"0,01","0,01","0,01",0,"0,06","0,04","0,08","0,07",0,"0,12","0,17","0,4","0,8",0,0,0,"0,01","0,08",0,0,0,"0,08","0,24","0,06","0,02",0,0,"0,05","0,01","0,01",0,"0,01","0,02",0,0,"0,09",0,"0,05","0,05","0,14","0,07",0,"0,01","0,07",0,0,"0,27","0,05",0,0,"0,1",0,0,0,"0,1",0,0,"2,05",0,0,0,"0,01",0,0,0,0,"0,05","0,03",0,0,0,0,"0,01","0,05",0,"0,04",0,0,0,"0,02",0,0,"0,01",0,0,0,0,0,"0,01",0,0,"2,15"
2018-07,"0,1","23,01",0,0,"0,03",0,"0,7","0,74","0,97","0,05","1,73","0,01","0,53","0,01",0,"0,03","0,02","0,06","0,02","0,02","0,04","0,03","0,19",0,0,"0,04","0,02","0,02",0,"0,01","0,48","0,03",0,"0,01","0,01","0,04","0,07","0,5","0,22",0,0,"0,11","0,02","0,01","0,07",0,"0,03",0,"0,02","0,03",0,"0,13","0,01","0,01",0,0,"57,18",0,0,0,0,0,0,0,"0,1",0,0,0,"0,97",0,0,0,0,0,0,"0,33",0,"0,9",0,0,0,"1,24","0,01","0,07",0,0,"0,03",0,"0,2","0,38",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,15",0,0,0,0,0,0,0,0,0,0,0,"0,25",0,0,0,0,0,0,0,0,0,0,0,"0,01",0,0,0,0,"0,03",0,0,0,0,0,0,0,0,"0,01",0,0,0,"0,03","0,01","0,01",0,0,0,0,0,0,0,0,0,"0,02","0,02",0,"0,07",0,0,"0,01","0,11",0,0,"0,01",0,"0,01","0,01","0,01",0,"0,05","0,04","0,07","0,07",0,"0,12","0,16","0,5","0,92",0,"0,01",0,"0,01","0,03",0,0,0,"0,03","0,2","0,04","0,01",0,0,"0,04",0,"0,01",0,"0,01","0,03",0,0,"0,06",0,"0,04","0,04","0,16","0,07",0,"0,01","0,08",0,0,"0,17","0,03",0,0,"1,84",0,0,0,"0,1",0,0,"0,27",0,0,0,0,0,0,0,0,"0,06","0,03",0,0,0,0,"0,03","0,05",0,"0,04",0,0,0,"0,01",0,0,"0,01",0,0,0,0,0,"0,01",0,0,"2,12"
2018-08,"0,13","23,28",0,0,"0,04",0,"0,7","0,85","0,97","0,05","1,72","0,01","0,18",0,0,"0,03","0,02","0,05","0,03","0,03","0,03","0,03","0,23",0,0,"0,04","0,01","0,01",0,"0,01","0,17","0,03",0,"0,01",0,"0,04","0,07","0,43","0,21",0,0,"0,09","0,02","0,01","0,05",0,"0,02",0,"0,02","0,03",0,"0,11","0,01",0,0,0,"12,61",0,0,0,0,"0,01",0,0,"0,08",0,0,0,"0,58",0,0,0,0,0,"0,03","0,33",0,"0,39",0,0,0,"46,72","0,01","0,07",0,0,"0,06",0,"0,17","0,28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,15",0,0,0,0,0,0,0,0,0,0,0,"0,25",0,0,0,0,0,0,0,0,0,0,0,"0,01",0,0,0,0,"0,02",0,0,0,0,0,0,0,0,"0,01",0,0,0,"0,02","0,01","0,01",0,0,"0,01",0,0,0,0,0,0,"0,09","0,01",0,"0,07",0,0,"0,01","0,03",0,0,"0,01",0,"0,01","0,01","0,01",0,"0,05","0,03","0,09","0,07",0,"0,12","0,17","0,59","1,06",0,"0,01",0,"0,01","0,03",0,0,0,"0,05","0,2","0,04","0,01",0,0,"0,05","0,01","0,01",0,"0,01","0,04",0,0,"0,04",0,"0,04","0,05","0,19","0,07",0,"0,01","0,1",0,0,"0,13","0,04",0,"0,01","2,05",0,0,0,"0,11",0,0,"0,05",0,0,0,0,0,0,0,0,"0,07","0,03",0,0,0,0,"0,02","0,05",0,"0,04",0,0,0,"0,02",0,0,"0,01",0,0,0,0,0,"0,01",0,0,"2,27"
2018-09,"0,1","21,88",0,0,"0,03",0,"0,59","0,81","0,97","0,04","1,69","0,01","0,21",0,0,"0,04","0,01","0,05","0,02","0,04","0,03","0,03","0,19",0,0,"0,03","0,01","0,01",0,"0,01","0,33","0,03",0,"0,02","0,01","0,03","0,06","0,35","0,19",0,0,"0,08","0,02","0,01","0,04",0,"0,03",0,"0,02","0,01",0,"0,12","0,01",0,0,0,"1,03",0,0,0,0,"0,01",0,0,"0,06",0,0,0,"0,38",0,0,"0,03",0,0,"0,04","0,33",0,"0,33",0,0,0,"34,67","0,01","0,06",0,0,"25,56",0,"0,16","0,23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,13",0,0,0,0,0,0,0,0,0,0,0,"0,25",0,0,0,0,0,0,0,0,0,0,0,"0,01",0,0,0,0,"0,01",0,0,0,0,0,0,0,0,"0,01",0,0,0,"0,02",0,"0,01",0,0,0,0,0,0,0,0,0,"0,02","0,01",0,"0,07",0,0,0,"0,05",0,0,"0,03",0,"0,01","0,01","0,01",0,"0,04","0,03","0,08","0,07",0,"0,1","0,17","0,66","0,97",0,"0,28",0,"0,01","0,03",0,0,0,"0,05","0,19","0,04","0,01",0,0,"0,05","0,01","0,01",0,"0,01","0,05",0,0,"0,03",0,"0,04","0,05","0,15","0,06",0,"0,01","0,11",0,0,"0,12","0,03",0,0,"0,63",0,"0,01",0,"0,1",0,0,"0,04",0,0,0,0,0,0,0,0,"0,06","0,03",0,"0,02",0,0,"1,49","0,04",0,"0,03",0,0,0,"0,02",0,0,"0,01",0,0,0,0,0,"0,01",0,0,"2,24"
2018-10,"0,07","21,35",0,0,"0,03",0,"0,55","0,71","0,82","0,04","1,79",0,"0,27",0,0,"0,02","0,01","0,05","0,02","0,05","0,03","0,02","0,24","0,01",0,"0,04","0,01","0,01","0,01","0,01","0,3","0,05",0,"0,01","0,01","0,05","0,05","0,28","0,18",0,0,"0,07","0,02","0,01","0,04",0,"0,03",0,"0,02","0,02",0,"0,09",0,0,0,0,"0,73",0,0,0,0,0,0,0,"0,06",0,0,"0,01","0,31",0,0,"0,03",0,0,10,"0,32",0,"0,26",0,0,"0,02","1,12",0,"0,04",0,0,"50,66",0,"0,12","0,19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,12",0,0,0,0,0,0,0,0,0,0,0,"0,26",0,0,0,0,0,0,0,0,0,0,0,"0,01",0,0,0,0,"0,01",0,0,0,0,0,0,0,0,"0,01",0,0,0,"0,02","0,01",0,0,0,0,0,0,0,0,0,0,"0,01","0,01",0,"0,07",0,0,0,"0,03",0,0,"0,02",0,0,"0,01","0,01",0,"0,05","0,03","0,07","0,06",0,"0,1","0,19","0,64","0,51",0,"0,89",0,0,"0,03",0,0,0,"0,03","0,14","0,03","0,01",0,"0,02","0,05",0,"0,01",0,"0,01","0,04",0,0,"0,03",0,"0,03","0,05","0,17","0,06",0,"0,01","0,09",0,0,"0,09","0,02",0,0,"0,08",0,0,0,"0,11",0,0,"0,04",0,0,0,0,0,0,0,0,"0,07","0,04",0,"0,35",0,0,"1,68","0,03",0,"0,05",0,0,0,"0,01",0,"0,01","0,01",0,0,0,0,0,"0,01",0,0,"2,09"
