"Date","Chrome for Android","IE 8.0","Safari iPhone","Firefox 3.6","IE 9.0","IE 7.0","Android 0","IE 11.0","Safari iPad","IE 6.0","Opera 0","IE 10.0","Firefox 3.5","Firefox 3.0","Chrome 31.0","Safari 5.1","Safari 5.0","Chrome 49.0","Chrome 23.0","Nokia 0","Chrome 26.0","Chrome 35.0","Chrome 39.0","Chrome 43.0","Chrome 21.0","Firefox 4.0","Chrome 27.0","Chrome 33.0","Chrome 29.0","Chrome 16.0","Chrome 37.0","Chrome 28.0","Chrome 36.0","Chrome 34.0","Chrome 30.0","Chrome 24.0","Chrome 40.0","Chrome 47.0","Chrome 22.0","Chrome 46.0","Chrome 32.0","Chrome 17.0","Chrome 18.0","Chrome 12.0","Chrome for iPhone","Chrome 45.0","Chrome 38.0","Chrome 19.0","BlackBerry 0","Chrome 15.0","Chrome 51.0","Chrome 25.0","Chrome 48.0","Chrome 63.0","Chrome 56.0","Chrome 44.0","Chrome 55.0","Chrome 41.0","Firefox 5.0","Chrome 13.0","Chrome 10.0","Chrome 54.0","Firefox 12.0","Safari 4.0","Chrome 14.0","Safari 6.0","Firefox 8.0","Chrome 5.0","Chrome 8.0","Chrome 42.0","Chrome 58.0","Chrome 11.0","Firefox 16.0","Chrome 20.0","UC Browser 10.7","Firefox 6.0","Chrome 61.0","Firefox 10.0","Firefox 11.0","Chrome 60.0","Chrome 53.0","Chrome 50.0","Chrome 71.0","Chrome 79.0","Firefox 14.0","Chrome 4.0","Firefox 15.0","Chrome 80.0","Firefox 7.0","Chrome 52.0","Chrome 67.0","Firefox 19.0","Firefox 26.0","Chrome 70.0","Firefox 9.0","Chrome 59.0","Firefox 18.0","Firefox 13.0","Firefox 21.0","Firefox 20.0","Firefox 17.0","Firefox 31.0","Chrome 83.0","Firefox 23.0","Chrome 57.0","Safari 7.0","Firefox 22.0","Firefox 25.0","Chrome 9.0","Chrome 75.0","Safari iPod Touch","Chrome 66.0","Chrome iPad","Firefox 32.0","Chrome 74.0","Chrome 69.0","Firefox 27.0","Chrome 65.0","Chrome 72.0","Firefox 24.0","Chrome 62.0","Chrome 73.0","Chrome 7.0","Chrome 78.0","Samsung Internet 4.0","Chrome 6.0","Chrome 68.0","Safari 8.0","Chrome 64.0","Chrome 76.0","Firefox 28.0","Opera 12.1","Chrome 87.0","UC Browser 11.0","UC Browser 10.9","Chrome 86.0","Firefox 38.0","Firefox 30.0","Firefox 29.0","Chrome 85.0","Chrome 84.0","360 Safe Browser 0","Firefox 35.0","Chrome 77.0","Firefox 2.0","Chrome 81.0","Firefox 33.0","IEMobile 11.0","Firefox 34.0","Chrome 91.0","UC Browser 8.7","Firefox 47.0","Chrome 96.0","Edge 14","Chrome 88.0","Firefox 37.0","Firefox 52.0","Safari 9.1","Firefox 43.0","Chrome 89.0","UC Browser 11.3","Firefox 36.0","UC Browser 2.0","Edge 18","Firefox 40.0","Safari 6.1","Firefox 39.0","Chrome 90.0","Safari 13.1","Edge 17","UC Browser 10.8","Chrome 92.0","Safari 9.0","UC Browser 9.4","Samsung Internet 3.3","UC Browser 11.2","UC Browser 11.4","Edge 13","Firefox 45.0","Chrome 3.0","UC Browser 0","IEMobile 10.0","Opera 11.6","Firefox 50.0","UC Browser 10.10","Firefox 41.0","UC Browser 9.5","Firefox 42.0","Safari 10.1","Safari 14.0","UC Browser 12.9","Safari 10.0","UC Browser 9.2","Safari 13.0","NetFront 4.2","Opera 10.6","Firefox 44.0","Chrome 103.0","Firefox 48.0","Chrome 108.0","Firefox 49.0","Opera 9.6","UC Browser 11.1","UC Browser 10.6","Chrome for Andr","Chrome 94.0","UC Browser 10.5","Opera 11.5","Sogou Explorer 0","Chrome 109.0","UC Browser 10.1","Chrome 97.0","Samsung Internet 3.5","Samsung Internet 5.4","Opera 10.0","UC Browser 10.4","Safari 11.0","Safari 7.1","Chrome 105.0","Safari 14.1","Chrome 107.0","Chrome 99.0","Firefox 46.0","Opera 11.0","Safari 11.1","Opera 12.0","Sony PS3 0","Firefox 51.0","Edge 15","Chrome 98.0","Chrome 95.0","Firefox 57.0","Chrome 93.0","Safari 12.0","Firefox 54.0","Chrome 100.0","Chrome 102.0","Firefox 53.0","Edge 16","Chrome 104.0","Safari 12.1","UC Browser 9.9","UC Browser 10.0","Chrome 106.0","Safari 4.1","Android 2.3","Unknown 0","Chrome 111.0","Chrome 101.0","Firefox 56.0","UC Browser 11.5","Samsung Internet 9.2","UC Browser 10.2","Opera 10.5","Chrome 2.0","Edge 12","Samsung Internet 2.1","Firefox 55.0","Chrome 112.0","Opera 11.1","Firefox 59.0","UC Browser 12.2","UC Browser 12.8","UC Browser 9.7","NetFront 0","Firefox 68.0","UC Browser 12.0","IEMobile 9.0","Chrome 110.0","Samsung Internet 8.2","Firefox 60.0","Firefox 61.0","Safari 3.2","UC Browser 7.0","Samsung Internet 6.2","UC Browser 9.8","Firefox 58.0","NetFront 3.5","UC Browser 9.3","UC Browser 12.5","Samsung Internet 7.4","Samsung Internet 12.1","UC Browser 12.12","Firefox 66.0","Opera Mini 4.4","Opera 37.0","Samsung Internet 6.4","UC Browser 12.13","KaiOS 2.5","Safari 15.6","Samsung Internet 2.0","UC Browser 9.0","Sony PS4 0","Firefox 63.0","Samsung Internet 10.2","Samsung Internet 10.1","Firefox 62.0","UC Browser 12.10","Firefox 64.0","Firefox 65.0","Samsung Internet 7.2","Samsung Internet 13.2","UC Browser 10.3","Chrome 1.0","UC Browser 8.6","Mozilla 1.9","Safari 6.2","Opera Mini 32.0","Samsung Internet 11.1","Maxthon 4.4","Dolfin 2.0","Firefox 67.0","UC Browser 12.11","UC Browser 9.6","UC Browser 9.1","Maxthon 1.0","Samsung 0","Firefox 69.0","Safari 3.1","Samsung Internet 16.0","Maxthon 2.0","UC Browser 4.2","Android 2.2","Samsung Internet 15.0","Edge 87","UC Browser 13.0","UC Browser 13.2","Mozilla 0","Samsung Internet 17.0","Firefox 70.0","Samsung Internet 4.2","Firefox 72.0","Firefox 78.0","Samsung Internet 19.0","Samsung Internet 9.4","Samsung Internet 13.0","Edge 91","Maxthon 3.0","Opera 30.0","Edge 96","Opera 28.0","NetFront 4.1","UC Browser 13.4","Samsung Internet 14.0","Samsung Internet 18.0","Opera 36.0","Opera 58.0","Opera Mini 4.5","Chrome 113.0","Opera Mini 7.5","Samsung Internet 11.2","Edge 89","Samsung Internet 14.2","Safari 15.5","AOL 7.0","Opera 9.5","Chromium 25.0","Silk 1.0","Edge 107","Edge 103","Edge 88","Firefox 1.5","UC Browser 8.8","Opera Mini 28.0","Safari 3.0","Opera 26.0","Opera 9.2","Firefox 71.0","Samsung Internet 20.0","Edge 86","Edge 92","Opera 34.0","Edge 108","SonyEricsson 0","Opera 20.0","Opera Mini 8.0","Edge 85","Firefox 81.0","Firefox 84.0","Firefox 74.0","KaiOS 2.0","Safari 15.1","Edge 90","Samsung Internet 1.1","Opera 43.0","Obigo 0","Safari 15.3","Opera 32.0","UC Browser 13.3","Safari 15.4","UC Browser 13.1","Firefox 77.0","Yandex Browser 1.7","Firefox 88.0","Edge 95","Firefox 75.0","Edge 112","Opera 18.0","Firefox 94.0","Samsung Internet 12.0","Opera 56.0","Safari 16.3","Firefox 76.0","Opera 29.0","Edge 105","Firefox 89.0","Opera 38.0","IEMobile 0","Edge 101","Opera 27.0","Samsung Internet 16.2","Edge 97","Opera 60.0","Whale 1.0","Opera 10.1","Firefox 95.0","Edge 110","Edge 84","Samsung Internet 5.0","UC Browser 8.0","Firefox 91.0","Edge 94","Firefox 73.0","Opera 68.0","Opera Mini 7.6","Opera Mini 33.0","Instabridge 21.9","Firefox 80.0","Opera 31.0","Edge 98","UC Browser 8.9","Edge 99","Opera 46.0","Firefox 79.0","Other"
2010-11,0,28.31,0.67,24.3,0.3,11.42,0.45,0,0.25,6.18,0.89,0,3.05,1.81,0,0,3.23,0,0,0.67,0,0,0,0,0,0.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.66,0,0,0,0.23,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0,0.21,0,0,0,0,0,0,0,0,0,0,0,11.61,0,0,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0.02,0,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0.09,0.03,0,0,0,0,0,0,0,0,0,0.16,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.07,0,0,0,0,0,0,0,0,0,0.06,0.05,0,0.04,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.03,0,0,0,0,0,0.03,0,0,0.03,0,0.02,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34
2010-12,0,28.34,0.72,24.25,0.37,10.76,0.54,0,0.32,5.55,0.84,0,2.82,1.6,0,0,3.35,0,0,0.64,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.73,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0.58,0,0,0,0.2,11.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.24,0,0,0,0,0,0,0,0,0,0,0,2.01,0,0,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.14,0,0,0,0,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0.48,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24,0,0,0,0,0,0,0,0,0.08,0.03,0,0,0,0,0,0,0,0,0,0.16,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.07,0,0,0,0,0,0,0,0,0,0.05,0.07,0,0.04,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.03,0,0,0,0,0,0.03,0,0,0.03,0,0.02,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32
2011-01,0,28.83,0.78,24.32,0.41,10.07,0.62,0,0.42,4.72,0.92,0,2.62,1.47,0,0,3.59,0,0,0.67,0,0,0,0,0,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64,0,0,0,0,0,0,0,0,0,0,0,0.21,0,0,0.52,0,0,0,0.18,13.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0.29,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,1.29,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24,0,0,0,0,0,0,0,0,0.06,0.03,0,0,0,0,0,0,0,0,0,0.16,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.06,0,0,0,0,0,0,0,0,0,0.05,0.07,0,0.03,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.02,0,0,0,0,0,0.03,0,0,0.03,0,0.02,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29
2011-02,0,28.95,0.8,24.25,0.46,9.62,0.67,0,0.41,4.4,0.96,0,2.45,1.18,0,0,3.66,0,0,0.7,0,0,0,0,0,0.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0.46,0,0,0,0.17,3.21,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.5,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0.16,0,0,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,1.42,0,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23,0,0,0,0,0,0,0,0,0.06,0.03,0,0,0,0,0,0,0,0,0,0.17,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.06,0,0,0,0,0,0,0,0,0,0.05,0.08,0,0.03,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.02,0,0,0,0,0,0.02,0,0,0.03,0,0.02,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28
2011-03,0,28.78,0.85,22.93,0.72,9.32,0.73,0,0.44,4.16,1,0,2.16,1.02,0,0,3.64,0,0,0.75,0,0,0,0,0,2.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0.65,0,0,0,0,0,0,0,0,0,0,0,10.12,0,0,0.41,0,0,0,0.16,0.32,0,0,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.13,0,0.29,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,1.47,0,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21,0,0,0,0,0,0,0,0,0.05,0.03,0,0,0,0,0.01,0,0,0,0,0.18,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.06,0,0,0,0,0,0,0,0,0,0.06,0.09,0,0.03,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.02,0,0,0,0,0,0.02,0,0,0.03,0,0.02,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27
2011-04,0,28.66,0.91,17.93,2.2,7.41,0.83,0,0.51,3.93,1.16,0,1.89,0.91,0,0,3.63,0,0,0.85,0,0,0,0,0,7.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,15.2,0,0,0.37,0,0,0,0.15,0.27,0,0,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0.13,0,0,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0.84,0,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.03,0,0,0,0,0,0,0.04,0.03,0,0,0,0,0.63,0,0,0,0,0.18,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.05,0,0,0,0,0.01,0,0,0,0,0.05,0.07,0,0.03,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.02,0,0,0,0,0,0.02,0,0,0.02,0,0.01,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32
2011-05,0,27.39,0.96,11.57,4.31,6.02,1.01,0,0.57,3.62,1.27,0,1.58,0.85,0,0,3.56,0,0,0.95,0,0,0,0,0,13.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31,0,0,0,0,0.73,0,0,0,0,0,0,0,0,0,0.03,0.09,1.61,0,0,0.33,0,0,0,0.14,0.22,0,0,15.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0.11,0,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0.05,0,0,0,0,0,0.01,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0.19,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0.11,0,0,0,0,0,0,0.04,0.03,0,0,0,0,1.25,0,0,0,0,0.13,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.04,0,0,0,0,0.02,0,0,0,0,0.05,0.01,0,0.02,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0,0,0,0,0.02,0,0,0.02,0,0.01,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44
2011-06,0,25.87,0.99,8.54,5.78,5.61,1.17,0,0.66,3.47,1.5,0,1.22,0.78,0,0.01,3.56,0,0,1.15,0,0,0,0,0,13.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.7,0,0,0,0,0.78,0,0,0,0,0,0,0,0,0,2.63,0.24,0.62,0,0,0.28,0.07,0,0,0.13,0.17,0,0,5.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0.31,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0.04,0,0,0,0,0,0.05,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0.12,0,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0,0.08,0,0,0,0,0,0,0.03,0.03,0,0,0,0,1.2,0,0,0,0,0.2,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.03,0,0,0,0,0.03,0,0,0,0,0.04,0.02,0,0.02,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0,0,0,0,0.02,0,0,0.02,0,0.01,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45
2011-07,0,24.45,1.06,8,6.76,5.06,1.33,0,0.77,3.18,1.57,0,0.7,0.69,0,0.28,3.28,0,0,1.2,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0.87,0,0,0,0,0,0,0,0,0,13.01,0.3,0.35,0,0,0.25,0.24,0,0.01,0.13,0.14,0,0,0.46,0,0,0,0.24,0,0,0,0,0,0,0,0,0,0.1,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0.34,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0,0.04,0,0,0,0,0,0.94,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0.09,0,0.01,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0,0,0,0,0,0,0,0,0.03,0.03,0,0,0,0,0.28,0,0,0,0,0.28,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.03,0,0,0,0,0.04,0,0,0,0,0.05,0.04,0,0.02,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0,0,0,0,0.01,0,0,0.02,0,0.01,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45
2011-08,0,23.85,1.06,7.37,7.48,4.71,1.47,0,0.84,2.87,1.55,0,0.58,0.63,0,1.45,2.09,0,0,1.21,0,0,0,0,0,1.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.74,0,0,0,0,0.83,0.1,0,0,0,0,0,0,0,0,9.37,15.87,0.31,0,0,0.23,0.35,0,0.02,0.12,0.12,0,0,0.35,0,0,0,5.32,0,0,0,0,0,0,0,0,0,0.09,0,0,0.14,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0,0.31,0,0,0,0,0,0,0,0,0,0,0,0.09,0,0,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0.03,0,0,0,0,0,1.12,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0.07,0,0.01,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0,0,0,0,0,0,0,0,0.02,0.03,0,0,0,0,0.14,0,0,0,0,0.29,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.03,0,0,0,0,0.04,0,0,0,0,0.03,0.04,0,0.02,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0,0,0,0,0.01,0,0,0.02,0,0.01,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43
